dataset,table,column,type
cbrm_2017,data,dataset,character
cbrm_2017,data,location,character
cbrm_2017,data,param,character
cbrm_2017,data,depth,double
cbrm_2017,data,value,double
cbrm_2017,data,error,double
cbrm_2017,data,error_type,character
cbrm_2017,data,n_detect,integer
cbrm_2017,data,n,integer
cbrm_2017,locations,dataset,character
cbrm_2017,locations,location,character
cbrm_2017,locations,collected,date
cbrm_2017,locations,lake_name,character
cbrm_2017,locations,water_depth_m,double
cbrm_2017,locations,alias,character
cbrm_2017,locations,longitude,double
cbrm_2017,locations,latitude,double
cbrm_2017,locations,core_internal_diam,double
cbrm_2017,params,dataset,character
cbrm_2017,params,param,character
cbrm_2017,datasets,dataset,character
